,dayOfWeek
3759,Monday
3760,Friday
3761,Sunday
3762,Saturday
3763,Sunday
3764,Tuesday
3765,Thurs
3766,Sunday
3767,Friday
3768,Monday
3769,Sunday
3770,Wed
3771,Thurs
3772,Saturday
3773,Monday
3774,Tuesday
3775,Thurs
3776,Friday
3777,Thurs
3778,Sunday
3779,Monday
3780,Friday
3781,Friday
3782,Sunday
3783,Sunday
3784,Tuesday
3785,Friday
3786,Friday
3787,Sunday
3788,Thurs
3789,Saturday
3790,Tuesday
3791,Wed
3792,Sunday
3793,Thurs
3794,Sunday
3795,Saturday
3796,Saturday
3797,Thurs
3798,Sunday
3799,Thurs
3800,Thurs
3801,Thurs
3802,Tuesday
3803,Sunday
3804,Saturday
3805,Monday
3806,Monday
3807,Saturday
3808,Monday
3809,Thurs
3810,Wed
3811,Friday
3812,Monday
3813,Thurs
3814,Friday
3815,Wed
3816,Thurs
3817,Friday
3818,Sunday
3819,Sunday
3820,Thurs
3821,Saturday
3822,Tuesday
3823,Thurs
3824,Saturday
3825,Sunday
3826,Monday
3827,Monday
3828,Thurs
3829,Sunday
3830,Friday
3831,Thurs
3832,Sunday
3833,Sunday
3834,Sunday
3835,Wed
3836,Wed
3837,Thurs
3838,Thurs
3839,Wed
3840,Sunday
3841,Wed
3842,Saturday
3843,Thurs
3844,Tuesday
3845,Sunday
3846,Friday
3847,Tuesday
3848,Monday
3849,Sunday
3850,Wed
3851,Tuesday
3852,Sunday
3853,Friday
3854,Wed
3855,Sunday
3856,Saturday
3857,Thurs
3858,Thurs
3859,Saturday
3860,Friday
3861,Wed
3862,Friday
3863,Sunday
3864,Friday
3865,Thurs
3866,Sunday
3867,Friday
3868,Tuesday
3869,Tuesday
3870,Monday
3871,Wed
3872,Monday
3873,Monday
3874,Thurs
3875,Monday
3876,Friday
3877,Saturday
3878,Wed
3879,Sunday
3880,Sunday
3881,Friday
3882,Friday
3883,Tuesday
3884,Thurs
3885,Tuesday
3886,Saturday
3887,Friday
3888,Tuesday
3889,Friday
3890,Thurs
3891,Thurs
3892,Tuesday
3893,Saturday
3894,Sunday
3895,Thurs
3896,Friday
3897,Thurs
3898,Saturday
3899,Thurs
3900,Sunday
3901,Saturday
3902,Sunday
3903,Monday
3904,Sunday
3905,Saturday
3906,Thurs
3907,Wed
3908,Monday
3909,Friday
3910,Monday
3911,Friday
3912,Tuesday
3913,Thurs
3914,Sunday
3915,Sunday
3916,Thurs
3917,Friday
3918,Friday
3919,Monday
3920,Thurs
3921,Friday
3922,Wed
3923,Monday
3924,Monday
3925,Saturday
3926,Monday
3927,Friday
3928,Thurs
3929,Wed
3930,Sunday
3931,Tuesday
3932,Friday
3933,Friday
3934,Monday
3935,Saturday
3936,Saturday
3937,Thurs
3938,Tuesday
3939,Saturday
3940,Wed
3941,Thurs
3942,Monday
3943,Thurs
3944,Monday
3945,Saturday
3946,Friday
3947,Tuesday
3948,Sunday
3949,Wed
3950,Monday
3951,Thurs
3952,Thurs
3953,Saturday
3954,Monday
3955,Wed
3956,Monday
3957,Saturday
3958,Friday
3959,Wed
3960,Monday
3961,Monday
3962,Thurs
3963,Wed
3964,Thurs
3965,Monday
3966,Thurs
3967,Tuesday
3968,Tuesday
3969,Sunday
3970,Sunday
3971,Tuesday
3972,Thurs
3973,Monday
3974,Wed
3975,Tuesday
3976,Thurs
3977,Saturday
3978,Thurs
3979,Tuesday
3980,Sunday
3981,Thurs
3982,Tuesday
3983,Tuesday
3984,Tuesday
3985,Monday
3986,Friday
3987,Saturday
3988,Saturday
3989,Tuesday
3990,Tuesday
3991,Monday
3992,Saturday
3993,Sunday
3994,Friday
3995,Tuesday
3996,Tuesday
3997,Sunday
3998,Monday
3999,Sunday
4000,Thurs
4001,Monday
4002,Sunday
4003,Thurs
4004,Thurs
4005,Friday
4006,Sunday
4007,Saturday
4008,Sunday
4009,Tuesday
4010,Sunday
4011,Tuesday
4012,Wed
4013,Sunday
4014,Saturday
4015,Saturday
4016,Thurs
4017,Saturday
4018,Saturday
4019,Thurs
4020,Wed
4021,Thurs
4022,Monday
4023,Tuesday
4024,Thurs
4025,Saturday
4026,Sunday
4027,Monday
4028,Wed
4029,Tuesday
4030,Friday
4031,Monday
4032,Tuesday
4033,Saturday
4034,Sunday
4035,Monday
4036,Wed
4037,Saturday
4038,Sunday
4039,Friday
4040,Tuesday
4041,Tuesday
4042,Friday
4043,Wed
4044,Saturday
4045,Saturday
4046,Saturday
4047,Monday
4048,Wed
4049,Tuesday
4050,Sunday
4051,Wed
4052,Friday
4053,Tuesday
4054,Wed
4055,Wed
4056,Thurs
4057,Thurs
4058,Friday
4059,Tuesday
4060,Friday
4061,Saturday
4062,Sunday
4063,Friday
4064,Monday
4065,Tuesday
4066,Saturday
4067,Wed
4068,Saturday
4069,Monday
4070,Tuesday
4071,Thurs
4072,Tuesday
4073,Saturday
4074,Friday
4075,Thurs
4076,Monday
4077,Wed
4078,Sunday
4079,Monday
4080,Tuesday
4081,Tuesday
4082,Tuesday
4083,Friday
4084,Sunday
4085,Tuesday
4086,Monday
4087,Tuesday
4088,Monday
4089,Tuesday
4090,Wed
4091,Tuesday
4092,Saturday
4093,Wed
4094,Saturday
4095,Tuesday
4096,Wed
4097,Sunday
4098,Friday
4099,Monday
4100,Monday
4101,Saturday
4102,Friday
4103,Friday
4104,Wed
4105,Thurs
4106,Monday
4107,Tuesday
4108,Saturday
4109,Friday
4110,Tuesday
4111,Thurs
4112,Thurs
4113,Sunday
4114,Monday
4115,Sunday
4116,Wed
4117,Wed
4118,Monday
4119,Saturday
4120,Tuesday
4121,Saturday
4122,Sunday
4123,Tuesday
4124,Saturday
4125,Thurs
4126,Sunday
4127,Tuesday
4128,Sunday
4129,Monday
4130,Tuesday
4131,Sunday
4132,Monday
4133,Monday
4134,Tuesday
4135,Wed
4136,Wed
4137,Saturday
4138,Tuesday
4139,Tuesday
4140,Wed
4141,Tuesday
4142,Saturday
4143,Wed
4144,Wed
4145,Saturday
4146,Tuesday
4147,Wed
4148,Friday
4149,Wed
4150,Sunday
4151,Wed
4152,Thurs
4153,Monday
4154,Thurs
4155,Sunday
4156,Tuesday
4157,Sunday
4158,Friday
4159,Saturday
4160,Thurs
4161,Sunday
4162,Tuesday
4163,Saturday
4164,Thurs
4165,Saturday
4166,Friday
4167,Friday
4168,Saturday
4169,Friday
4170,Thurs
4171,Friday
4172,Friday
4173,Wed
4174,Friday
4175,Friday
4176,Sunday
4177,Tuesday
4178,Saturday
4179,Tuesday
4180,Thurs
4181,Friday
4182,Friday
4183,Wed
4184,Friday
4185,Monday
4186,Sunday
4187,Sunday
4188,Tuesday
4189,Sunday
4190,Monday
4191,Wed
4192,Tuesday
4193,Monday
4194,Sunday
4195,Tuesday
4196,Thurs
4197,Wed
4198,Tuesday
4199,Thurs
4200,Tuesday
4201,Thurs
4202,Wed
4203,Monday
4204,Saturday
4205,Saturday
4206,Saturday
4207,Monday
4208,Saturday
4209,Sunday
4210,Saturday
4211,Friday
4212,Monday
4213,Tuesday
4214,Wed
4215,Friday
4216,Friday
4217,Thurs
4218,Monday
4219,Saturday
4220,Monday
4221,Wed
4222,Saturday
4223,Monday
4224,Friday
4225,Wed
4226,Sunday
4227,Wed
4228,Monday
4229,Wed
4230,Friday
4231,Wed
4232,Saturday
4233,Monday
4234,Sunday
4235,Sunday
4236,Sunday
4237,Thurs
4238,Saturday
4239,Sunday
4240,Saturday
4241,Tuesday
4242,Monday
4243,Tuesday
4244,Wed
4245,Saturday
4246,Monday
4247,Saturday
4248,Wed
4249,Tuesday
4250,Wed
4251,Saturday
4252,Wed
4253,Saturday
4254,Tuesday
4255,Saturday
4256,Thurs
4257,Saturday
4258,Friday
4259,Saturday
4260,Saturday
4261,Sunday
4262,Monday
4263,Thurs
4264,Saturday
4265,Monday
4266,Thurs
4267,Saturday
4268,Thurs
4269,Thurs
4270,Tuesday
4271,Friday
4272,Friday
4273,Tuesday
4274,Tuesday
4275,Sunday
4276,Wed
4277,Friday
4278,Sunday
4279,Sunday
4280,Wed
4281,Wed
4282,Wed
4283,Thurs
4284,Friday
4285,Wed
4286,Thurs
4287,Friday
4288,Saturday
4289,Saturday
4290,Monday
4291,Sunday
4292,Saturday
4293,Tuesday
4294,Saturday
4295,Saturday
4296,Sunday
4297,Sunday
4298,Monday
4299,Thurs
4300,Sunday
4301,Friday
4302,Friday
4303,Monday
4304,Wed
4305,Wed
4306,Friday
4307,Sunday
4308,Sunday
4309,Monday
4310,Sunday
4311,Friday
4312,Monday
4313,Tuesday
4314,Sunday
4315,Thurs
4316,Friday
4317,Monday
4318,Monday
4319,Saturday
4320,Wed
4321,Tuesday
4322,Sunday
4323,Tuesday
4324,Saturday
4325,Sunday
4326,Tuesday
4327,Sunday
4328,Friday
4329,Tuesday
4330,Tuesday
4331,Friday
4332,Wed
4333,Thurs
4334,Thurs
4335,Friday
4336,Wed
4337,Saturday
4338,Saturday
4339,Friday
4340,Sunday
4341,Sunday
4342,Friday
4343,Tuesday
4344,Wed
4345,Sunday
4346,Wed
4347,Saturday
4348,Sunday
4349,Friday
4350,Friday
4351,Monday
4352,Friday
4353,Friday
4354,Friday
4355,Saturday
4356,Wed
4357,Monday
4358,Monday
4359,Friday
4360,Sunday
4361,Tuesday
4362,Wed
4363,Sunday
4364,Thurs
4365,Friday
4366,Sunday
4367,Tuesday
4368,Saturday
4369,Saturday
4370,Tuesday
4371,Saturday
4372,Monday
4373,Friday
4374,Sunday
4375,Thurs
4376,Sunday
4377,Sunday
4378,Friday
4379,Tuesday
4380,Thurs
4381,Wed
4382,Saturday
4383,Monday
4384,Saturday
4385,Saturday
4386,Wed
4387,Tuesday
4388,Monday
4389,Friday
4390,Friday
4391,Friday
4392,Sunday
4393,Sunday
4394,Thurs
4395,Saturday
4396,Monday
4397,Saturday
4398,Tuesday
4399,Tuesday
4400,Wed
4401,Tuesday
4402,Saturday
4403,Saturday
4404,Thurs
4405,Monday
4406,Sunday
4407,Saturday
4408,Monday
4409,Saturday
4410,Monday
4411,Wed
4412,Wed
4413,Thurs
4414,Thurs
4415,Saturday
4416,Thurs
4417,Monday
4418,Tuesday
4419,Saturday
4420,Wed
4421,Friday
4422,Wed
4423,Thurs
4424,Wed
4425,Sunday
4426,Saturday
4427,Wed
4428,Saturday
4429,Monday
4430,Thurs
4431,Wed
4432,Friday
4433,Thurs
4434,Sunday
4435,Thurs
4436,Monday
4437,Friday
4438,Saturday
4439,Saturday
4440,Thurs
4441,Thurs
4442,Wed
4443,Monday
4444,Tuesday
4445,Wed
4446,Tuesday
4447,Sunday
4448,Saturday
4449,Saturday
4450,Friday
4451,Tuesday
4452,Saturday
4453,Sunday
4454,Sunday
4455,Thurs
4456,Saturday
4457,Friday
4458,Wed
4459,Thurs
4460,Wed
4461,Wed
4462,Tuesday
4463,Wed
4464,Tuesday
4465,Sunday
4466,Saturday
4467,Wed
4468,Sunday
4469,Wed
4470,Monday
4471,Monday
4472,Sunday
4473,Saturday
4474,Saturday
4475,Tuesday
4476,Monday
4477,Sunday
4478,Friday
4479,Tuesday
4480,Sunday
4481,Sunday
4482,Friday
4483,Thurs
4484,Monday
4485,Sunday
4486,Sunday
4487,Tuesday
4488,Sunday
4489,Friday
4490,Tuesday
4491,Friday
4492,Monday
4493,Monday
4494,Monday
4495,Wed
4496,Friday
4497,Monday
4498,Monday
4499,Tuesday
4500,Monday
4501,Sunday
4502,Saturday
4503,Friday
4504,Tuesday
4505,Saturday
4506,Wed
4507,Friday
4508,Friday
4509,Friday
4510,Thurs
4511,Tuesday
4512,Sunday
4513,Tuesday
4514,Saturday
4515,Wed
4516,Tuesday
4517,Friday
4518,Thurs
4519,Sunday
4520,Tuesday
4521,Friday
4522,Tuesday
4523,Friday
4524,Thurs
4525,Monday
4526,Tuesday
4527,Friday
4528,Friday
4529,Thurs
4530,Sunday
4531,Saturday
4532,Tuesday
4533,Friday
4534,Monday
4535,Saturday
4536,Saturday
4537,Tuesday
4538,Monday
4539,Wed
4540,Saturday
4541,Wed
4542,Tuesday
4543,Saturday
4544,Thurs
4545,Friday
4546,Thurs
4547,Wed
4548,Saturday
4549,Saturday
4550,Monday
4551,Wed
4552,Saturday
4553,Thurs
4554,Wed
4555,Friday
4556,Monday
4557,Sunday
4558,Saturday
4559,Monday
4560,Sunday
4561,Monday
4562,Tuesday
4563,Monday
4564,Wed
4565,Friday
4566,Thurs
4567,Thurs
4568,Sunday
4569,Friday
4570,Monday
4571,Thurs
4572,Saturday
4573,Friday
4574,Friday
4575,Friday
4576,Wed
4577,Thurs
4578,Saturday
4579,Thurs
4580,Friday
4581,Saturday
4582,Thurs
4583,Sunday
4584,Thurs
4585,Tuesday
4586,Tuesday
4587,Thurs
4588,Wed
4589,Saturday
4590,Monday
4591,Wed
4592,Saturday
4593,Tuesday
4594,Friday
4595,Friday
4596,Sunday
4597,Tuesday
4598,Friday
4599,Monday
4600,Monday
4601,Sunday
4602,Monday
4603,Sunday
4604,Saturday
4605,Wed
4606,Tuesday
4607,Saturday
4608,Friday
4609,Monday
4610,Thurs
4611,Friday
4612,Friday
4613,Monday
4614,Sunday
4615,Thurs
4616,Monday
4617,Friday
4618,Friday
4619,Monday
4620,Wed
4621,Saturday
4622,Tuesday
4623,Tuesday
4624,Friday
4625,Sunday
4626,Sunday
4627,Tuesday
4628,Saturday
4629,Sunday
4630,Sunday
4631,Monday
4632,Saturday
4633,Wed
4634,Friday
4635,Thurs
4636,Wed
4637,Tuesday
4638,Monday
4639,Friday
4640,Thurs
4641,Friday
4642,Sunday
4643,Friday
4644,Saturday
4645,Friday
4646,Monday
4647,Wed
4648,Wed
4649,Thurs
4650,Thurs
4651,Friday
4652,Friday
4653,Saturday
4654,Saturday
4655,Friday
4656,Friday
4657,Friday
4658,Saturday
4659,Monday
4660,Saturday
4661,Saturday
4662,Wed
4663,Saturday
4664,Wed
4665,Sunday
4666,Saturday
4667,Tuesday
4668,Saturday
4669,Wed
4670,Friday
4671,Friday
4672,Monday
4673,Tuesday
4674,Saturday
4675,Monday
4676,Monday
4677,Tuesday
4678,Thurs
4679,Thurs
4680,Friday
4681,Sunday
4682,Thurs
4683,Wed
4684,Saturday
4685,Thurs
4686,Monday
4687,Friday
4688,Friday
4689,Wed
4690,Monday
4691,Monday
4692,Thurs
4693,Saturday
4694,Saturday
4695,Monday
4696,Saturday
4697,Monday
4698,Thurs
4699,Tuesday
4700,Friday
4701,Friday
4702,Friday
4703,Thurs
4704,Tuesday
4705,Sunday
4706,Thurs
4707,Monday
4708,Wed
4709,Saturday
4710,Monday
4711,Monday
4712,Friday
4713,Monday
4714,Wed
4715,Thurs
4716,Saturday
4717,Thurs
4718,Tuesday
4719,Monday
4720,Tuesday
4721,Sunday
4722,Thurs
4723,Thurs
4724,Friday
4725,Tuesday
4726,Wed
4727,Friday
4728,Sunday
4729,Sunday
4730,Saturday
4731,Monday
4732,Saturday
4733,Tuesday
4734,Sunday
4735,Wed
4736,Saturday
4737,Saturday
4738,Saturday
4739,Wed
4740,Saturday
4741,Thurs
4742,Saturday
4743,Friday
4744,Friday
4745,Tuesday
4746,Sunday
4747,Monday
4748,Thurs
4749,Sunday
4750,Friday
4751,Thurs
4752,Saturday
4753,Tuesday
4754,Saturday
4755,Tuesday
4756,Tuesday
4757,Sunday
4758,Friday
4759,Thurs
4760,Wed
4761,Monday
4762,Friday
4763,Tuesday
4764,Saturday
4765,Tuesday
4766,Friday
4767,Thurs
4768,Sunday
4769,Saturday
4770,Thurs
4771,Tuesday
4772,Monday
4773,Monday
4774,Wed
4775,Friday
4776,Sunday
4777,Thurs
4778,Monday
4779,Tuesday
4780,Wed
4781,Wed
4782,Saturday
4783,Thurs
4784,Sunday
4785,Wed
4786,Sunday
4787,Monday
4788,Saturday
4789,Monday
4790,Wed
4791,Thurs
4792,Wed
4793,Wed
4794,Friday
4795,Saturday
4796,Sunday
4797,Tuesday
4798,Tuesday
4799,Saturday
4800,Monday
4801,Sunday
4802,Thurs
4803,Saturday
4804,Friday
4805,Sunday
4806,Tuesday
4807,Thurs
4808,Wed
4809,Friday
4810,Saturday
4811,Monday
4812,Friday
4813,Sunday
4814,Saturday
4815,Sunday
4816,Monday
4817,Sunday
4818,Saturday
4819,Monday
4820,Friday
4821,Sunday
4822,Tuesday
4823,Sunday
4824,Friday
4825,Friday
4826,Saturday
4827,Monday
4828,Thurs
4829,Wed
4830,Thurs
4831,Wed
4832,Friday
4833,Saturday
4834,Saturday
4835,Wed
4836,Thurs
4837,Thurs
4838,Friday
4839,Friday
4840,Saturday
4841,Thurs
4842,Friday
4843,Friday
4844,Saturday
4845,Saturday
4846,Friday
4847,Tuesday
4848,Friday
4849,Friday
4850,Wed
4851,Saturday
4852,Saturday
4853,Wed
4854,Friday
4855,Tuesday
4856,Tuesday
4857,Friday
4858,Saturday
4859,Friday
4860,Wed
4861,Wed
4862,Wed
4863,Wed
4864,Monday
4865,Monday
4866,Wed
4867,Tuesday
4868,Thurs
4869,Monday
4870,Friday
4871,Sunday
4872,Saturday
4873,Monday
4874,Thurs
4875,Friday
4876,Thurs
4877,Wed
4878,Monday
4879,Wed
4880,Friday
4881,Sunday
4882,Saturday
4883,Thurs
4884,Wed
4885,Sunday
4886,Saturday
4887,Monday
4888,Saturday
4889,Friday
4890,Saturday
4891,Tuesday
4892,Thurs
4893,Saturday
4894,Friday
4895,Sunday
4896,Friday
4897,Friday
4898,Wed
4899,Wed
4900,Tuesday
4901,Monday
4902,Monday
4903,Sunday
4904,Monday
4905,Sunday
4906,Monday
4907,Saturday
4908,Thurs
4909,Friday
4910,Saturday
4911,Sunday
4912,Saturday
4913,Thurs
4914,Wed
4915,Tuesday
4916,Saturday
4917,Tuesday
4918,Sunday
4919,Thurs
