,dayOfWeek
1056,Tuesday
1057,Wed
1058,Wed
1059,Thurs
1060,Saturday
1061,Wed
1062,Saturday
1063,Monday
1064,Wed
1065,Saturday
1066,Tuesday
1067,Saturday
1068,Friday
1069,Tuesday
1070,Sunday
1071,Saturday
1072,Friday
1073,Monday
1074,Saturday
1075,Saturday
1076,Sunday
1077,Wed
1078,Thurs
1079,Sunday
1080,Friday
1081,Saturday
1082,Tuesday
1083,Friday
1084,Monday
1085,Friday
1086,Sunday
1087,Sunday
1088,Friday
1089,Tuesday
1090,Friday
1091,Wed
1092,Friday
1093,Thurs
1094,Tuesday
1095,Tuesday
1096,Wed
1097,Saturday
1098,Thurs
1099,Friday
1100,Friday
1101,Friday
1102,Friday
1103,Saturday
1104,Friday
1105,Tuesday
1106,Friday
1107,Monday
1108,Friday
1109,Friday
1110,Sunday
1111,Wed
1112,Wed
1113,Friday
1114,Saturday
1115,Sunday
1116,Tuesday
1117,Monday
1118,Sunday
1119,Thurs
1120,Friday
1121,Friday
1122,Monday
1123,Wed
1124,Saturday
1125,Tuesday
1126,Monday
1127,Friday
1128,Tuesday
1129,Saturday
1130,Tuesday
1131,Wed
1132,Tuesday
1133,Wed
1134,Sunday
1135,Friday
1136,Friday
1137,Sunday
1138,Thurs
1139,Monday
1140,Tuesday
1141,Sunday
1142,Monday
1143,Saturday
1144,Thurs
1145,Friday
1146,Thurs
1147,Monday
1148,Saturday
1149,Friday
1150,Sunday
1151,Friday
1152,Friday
1153,Monday
1154,Saturday
1155,Wed
1156,Wed
1157,Thurs
1158,Tuesday
1159,Thurs
1160,Friday
1161,Saturday
1162,Thurs
1163,Friday
1164,Tuesday
1165,Monday
1166,Monday
1167,Friday
1168,Sunday
1169,Wed
1170,Friday
1171,Friday
1172,Saturday
1173,Wed
1174,Friday
1175,Saturday
1176,Sunday
1177,Monday
1178,Saturday
1179,Tuesday
1180,Tuesday
1181,Monday
1182,Sunday
1183,Wed
1184,Friday
1185,Monday
1186,Tuesday
1187,Wed
1188,Monday
1189,Wed
1190,Friday
1191,Friday
1192,Monday
1193,Friday
1194,Tuesday
1195,Monday
1196,Friday
1197,Sunday
1198,Saturday
1199,Thurs
1200,Saturday
1201,Monday
1202,Sunday
1203,Wed
1204,Thurs
1205,Monday
1206,Saturday
1207,Sunday
1208,Saturday
1209,Sunday
1210,Sunday
1211,Friday
1212,Tuesday
1213,Friday
1214,Saturday
1215,Sunday
1216,Tuesday
1217,Monday
1218,Saturday
1219,Tuesday
1220,Friday
1221,Saturday
1222,Monday
1223,Sunday
1224,Saturday
1225,Thurs
1226,Tuesday
1227,Thurs
1228,Thurs
1229,Tuesday
1230,Monday
1231,Monday
1232,Friday
1233,Friday
1234,Saturday
1235,Monday
1236,Saturday
1237,Thurs
1238,Wed
1239,Saturday
1240,Tuesday
1241,Friday
1242,Thurs
1243,Saturday
1244,Wed
1245,Wed
1246,Monday
1247,Friday
1248,Monday
1249,Saturday
1250,Sunday
1251,Friday
1252,Sunday
1253,Saturday
1254,Sunday
1255,Sunday
1256,Tuesday
1257,Tuesday
1258,Saturday
1259,Sunday
1260,Friday
1261,Thurs
1262,Thurs
1263,Sunday
1264,Tuesday
1265,Tuesday
1266,Monday
1267,Saturday
1268,Wed
1269,Sunday
1270,Tuesday
1271,Sunday
1272,Wed
1273,Sunday
1274,Saturday
1275,Sunday
1276,Tuesday
1277,Friday
1278,Friday
1279,Wed
1280,Monday
1281,Thurs
1282,Friday
1283,Saturday
1284,Wed
1285,Tuesday
1286,Saturday
1287,Thurs
1288,Monday
1289,Friday
1290,Sunday
1291,Saturday
1292,Friday
1293,Saturday
1294,Sunday
1295,Sunday
1296,Sunday
1297,Sunday
1298,Wed
1299,Thurs
1300,Saturday
1301,Wed
1302,Wed
1303,Sunday
1304,Sunday
1305,Wed
1306,Tuesday
1307,Saturday
1308,Wed
1309,Saturday
1310,Friday
1311,Thurs
1312,Thurs
1313,Thurs
1314,Saturday
1315,Thurs
1316,Monday
1317,Tuesday
1318,Monday
1319,Friday
1320,Thurs
1321,Sunday
1322,Thurs
1323,Sunday
1324,Thurs
1325,Wed
1326,Saturday
1327,Tuesday
1328,Saturday
1329,Friday
1330,Saturday
1331,Friday
1332,Monday
1333,Wed
1334,Saturday
1335,Saturday
1336,Saturday
1337,Friday
1338,Friday
1339,Friday
1340,Sunday
1341,Friday
1342,Tuesday
1343,Sunday
1344,Saturday
1345,Friday
1346,Friday
1347,Tuesday
1348,Friday
1349,Tuesday
1350,Friday
1351,Tuesday
1352,Friday
1353,Friday
1354,Sunday
1355,Tuesday
1356,Friday
1357,Tuesday
1358,Friday
1359,Friday
1360,Saturday
1361,Saturday
1362,Tuesday
1363,Tuesday
1364,Sunday
1365,Friday
1366,Friday
1367,Sunday
1368,Sunday
1369,Friday
1370,Monday
1371,Friday
1372,Thurs
1373,Sunday
1374,Monday
1375,Thurs
1376,Thurs
1377,Tuesday
1378,Thurs
1379,Wed
1380,Wed
1381,Saturday
1382,Tuesday
1383,Tuesday
1384,Sunday
1385,Monday
1386,Friday
1387,Monday
1388,Thurs
1389,Sunday
1390,Tuesday
1391,Wed
1392,Sunday
1393,Sunday
1394,Saturday
1395,Monday
1396,Thurs
1397,Friday
1398,Wed
1399,Sunday
1400,Friday
1401,Wed
1402,Saturday
1403,Wed
1404,Friday
1405,Sunday
1406,Sunday
1407,Tuesday
1408,Tuesday
1409,Thurs
1410,Saturday
1411,Monday
1412,Tuesday
1413,Saturday
1414,Tuesday
1415,Saturday
1416,Wed
1417,Friday
1418,Sunday
1419,Saturday
1420,Sunday
1421,Sunday
1422,Tuesday
1423,Thurs
1424,Friday
1425,Tuesday
1426,Saturday
1427,Saturday
1428,Friday
1429,Wed
1430,Sunday
1431,Monday
1432,Monday
1433,Monday
1434,Thurs
1435,Friday
1436,Saturday
1437,Saturday
1438,Friday
1439,Wed
1440,Wed
1441,Thurs
1442,Friday
1443,Thurs
1444,Tuesday
1445,Tuesday
1446,Friday
1447,Saturday
1448,Monday
1449,Friday
1450,Sunday
1451,Saturday
1452,Friday
1453,Monday
1454,Thurs
1455,Saturday
1456,Friday
1457,Tuesday
1458,Monday
1459,Thurs
1460,Saturday
1461,Tuesday
1462,Monday
1463,Tuesday
1464,Thurs
1465,Saturday
1466,Friday
1467,Wed
1468,Tuesday
1469,Sunday
1470,Tuesday
1471,Tuesday
1472,Thurs
1473,Monday
1474,Monday
1475,Monday
1476,Monday
1477,Saturday
1478,Thurs
1479,Tuesday
1480,Thurs
1481,Saturday
1482,Sunday
1483,Thurs
1484,Monday
1485,Wed
1486,Saturday
1487,Friday
1488,Tuesday
1489,Thurs
1490,Wed
1491,Saturday
1492,Monday
1493,Monday
1494,Sunday
1495,Thurs
1496,Wed
1497,Saturday
1498,Sunday
1499,Sunday
1500,Saturday
1501,Sunday
1502,Friday
1503,Monday
1504,Wed
1505,Wed
1506,Sunday
1507,Friday
1508,Tuesday
1509,Saturday
1510,Wed
1511,Wed
1512,Thurs
1513,Saturday
1514,Saturday
1515,Wed
1516,Monday
1517,Tuesday
1518,Monday
1519,Friday
1520,Thurs
1521,Friday
1522,Sunday
1523,Friday
1524,Thurs
1525,Sunday
1526,Monday
1527,Thurs
1528,Wed
1529,Monday
1530,Saturday
1531,Sunday
1532,Tuesday
1533,Sunday
1534,Saturday
1535,Sunday
1536,Thurs
1537,Friday
1538,Saturday
1539,Monday
1540,Thurs
1541,Sunday
1542,Monday
1543,Saturday
1544,Friday
1545,Thurs
1546,Thurs
1547,Friday
1548,Monday
1549,Wed
1550,Sunday
1551,Friday
1552,Saturday
1553,Tuesday
1554,Wed
1555,Wed
1556,Friday
1557,Thurs
1558,Thurs
1559,Tuesday
1560,Friday
1561,Tuesday
1562,Thurs
1563,Sunday
1564,Monday
1565,Sunday
1566,Thurs
1567,Monday
1568,Sunday
1569,Tuesday
1570,Monday
1571,Monday
1572,Saturday
1573,Friday
1574,Saturday
1575,Sunday
1576,Saturday
1577,Saturday
1578,Saturday
1579,Monday
1580,Sunday
1581,Thurs
1582,Sunday
1583,Monday
1584,Monday
1585,Wed
1586,Thurs
1587,Saturday
1588,Friday
1589,Sunday
1590,Sunday
1591,Saturday
1592,Friday
1593,Monday
1594,Friday
1595,Thurs
1596,Monday
1597,Friday
1598,Tuesday
1599,Friday
1600,Thurs
1601,Wed
1602,Wed
1603,Friday
1604,Monday
1605,Saturday
1606,Wed
1607,Sunday
1608,Tuesday
1609,Thurs
1610,Saturday
1611,Thurs
1612,Wed
1613,Wed
1614,Wed
1615,Thurs
1616,Monday
1617,Wed
1618,Friday
1619,Saturday
1620,Friday
1621,Saturday
1622,Saturday
1623,Monday
1624,Wed
1625,Thurs
1626,Friday
1627,Saturday
1628,Sunday
1629,Monday
1630,Monday
1631,Friday
1632,Saturday
1633,Tuesday
1634,Saturday
1635,Sunday
1636,Sunday
1637,Wed
1638,Friday
1639,Monday
1640,Tuesday
1641,Saturday
1642,Thurs
1643,Friday
1644,Thurs
1645,Thurs
1646,Monday
1647,Tuesday
1648,Saturday
1649,Tuesday
1650,Sunday
1651,Tuesday
1652,Monday
1653,Tuesday
1654,Monday
1655,Monday
1656,Wed
1657,Sunday
1658,Wed
1659,Sunday
1660,Thurs
1661,Monday
1662,Friday
1663,Thurs
1664,Sunday
1665,Friday
1666,Thurs
1667,Monday
1668,Sunday
1669,Sunday
1670,Wed
1671,Friday
1672,Saturday
1673,Monday
1674,Thurs
1675,Sunday
1676,Saturday
1677,Tuesday
1678,Friday
1679,Thurs
1680,Saturday
1681,Tuesday
1682,Sunday
1683,Wed
1684,Tuesday
1685,Saturday
1686,Friday
1687,Sunday
1688,Friday
1689,Wed
1690,Wed
1691,Monday
1692,Sunday
1693,Saturday
1694,Friday
1695,Sunday
1696,Wed
1697,Monday
1698,Thurs
1699,Sunday
1700,Saturday
1701,Thurs
1702,Saturday
1703,Sunday
1704,Wed
1705,Sunday
1706,Thurs
1707,Friday
1708,Wed
1709,Saturday
1710,Monday
1711,Saturday
1712,Friday
1713,Sunday
1714,Tuesday
1715,Friday
1716,Thurs
1717,Friday
1718,Tuesday
1719,Friday
1720,Saturday
1721,Thurs
1722,Thurs
1723,Wed
1724,Thurs
1725,Friday
1726,Wed
1727,Sunday
1728,Tuesday
1729,Monday
1730,Thurs
1731,Thurs
1732,Monday
1733,Sunday
1734,Friday
1735,Sunday
1736,Wed
1737,Saturday
1738,Monday
1739,Sunday
1740,Thurs
1741,Friday
1742,Friday
1743,Saturday
1744,Tuesday
1745,Wed
1746,Monday
1747,Thurs
1748,Wed
1749,Tuesday
1750,Tuesday
1751,Saturday
1752,Saturday
1753,Tuesday
1754,Wed
1755,Wed
1756,Saturday
1757,Friday
1758,Monday
1759,Friday
1760,Tuesday
1761,Thurs
1762,Thurs
1763,Sunday
1764,Sunday
1765,Friday
1766,Wed
1767,Sunday
1768,Monday
1769,Wed
1770,Friday
1771,Tuesday
1772,Tuesday
1773,Sunday
1774,Sunday
1775,Saturday
1776,Tuesday
1777,Thurs
1778,Thurs
1779,Monday
1780,Wed
1781,Monday
1782,Saturday
1783,Thurs
1784,Tuesday
1785,Monday
1786,Friday
1787,Monday
1788,Sunday
1789,Thurs
1790,Friday
1791,Monday
1792,Tuesday
1793,Saturday
1794,Tuesday
1795,Tuesday
1796,Saturday
1797,Sunday
1798,Tuesday
1799,Sunday
1800,Monday
1801,Wed
1802,Sunday
1803,Wed
1804,Saturday
1805,Tuesday
1806,Tuesday
1807,Saturday
1808,Wed
1809,Sunday
1810,Thurs
1811,Sunday
1812,Thurs
1813,Saturday
1814,Thurs
1815,Wed
1816,Saturday
1817,Friday
1818,Saturday
1819,Friday
1820,Sunday
1821,Saturday
1822,Wed
1823,Friday
1824,Thurs
1825,Tuesday
1826,Monday
1827,Saturday
1828,Saturday
1829,Friday
1830,Thurs
1831,Thurs
1832,Friday
1833,Saturday
1834,Sunday
1835,Friday
1836,Sunday
1837,Friday
1838,Friday
1839,Wed
1840,Sunday
1841,Tuesday
1842,Friday
1843,Saturday
1844,Monday
1845,Tuesday
1846,Tuesday
1847,Sunday
1848,Monday
1849,Wed
1850,Sunday
1851,Thurs
1852,Monday
1853,Saturday
1854,Monday
1855,Wed
1856,Wed
1857,Monday
1858,Saturday
1859,Sunday
1860,Saturday
1861,Saturday
1862,Friday
1863,Tuesday
1864,Friday
1865,Monday
1866,Sunday
1867,Friday
1868,Sunday
1869,Friday
1870,Monday
1871,Saturday
1872,Sunday
1873,Friday
1874,Sunday
1875,Sunday
1876,Tuesday
1877,Wed
1878,Monday
1879,Thurs
1880,Monday
1881,Friday
1882,Thurs
1883,Monday
1884,Saturday
1885,Tuesday
1886,Wed
1887,Monday
1888,Wed
1889,Sunday
1890,Monday
1891,Tuesday
1892,Thurs
1893,Sunday
1894,Thurs
1895,Saturday
1896,Tuesday
1897,Friday
1898,Wed
1899,Wed
1900,Friday
1901,Friday
1902,Monday
1903,Friday
1904,Tuesday
1905,Monday
1906,Wed
1907,Sunday
1908,Sunday
1909,Saturday
1910,Wed
1911,Saturday
1912,Thurs
1913,Friday
1914,Saturday
1915,Friday
1916,Saturday
1917,Thurs
1918,Wed
1919,Saturday
1920,Thurs
1921,Tuesday
1922,Sunday
1923,Tuesday
1924,Thurs
1925,Saturday
1926,Monday
1927,Tuesday
1928,Friday
1929,Wed
1930,Sunday
1931,Saturday
1932,Sunday
1933,Wed
1934,Monday
1935,Friday
1936,Tuesday
1937,Sunday
1938,Tuesday
1939,Thurs
1940,Tuesday
1941,Sunday
1942,Tuesday
1943,Friday
1944,Saturday
