,month
1366,3
1367,9
1368,8
1369,1
1370,10
1371,6
1372,7
1373,9
1374,5
1375,8
1376,9
1377,12
1378,11
1379,12
1380,6
1381,10
1382,11
1383,2
1384,4
1385,7
1386,11
1387,5
1388,6
1389,3
1390,7
1391,10
1392,4
1393,11
1394,10
1395,12
1396,4
1397,10
1398,4
1399,5
1400,11
1401,9
1402,6
1403,1
1404,12
1405,10
1406,4
1407,11
1408,12
1409,8
1410,1
1411,1
1412,9
1413,7
1414,1
1415,6
1416,12
1417,2
1418,3
1419,7
1420,12
1421,6
1422,6
1423,1
1424,2
1425,7
1426,10
1427,3
1428,8
1429,11
1430,12
1431,8
1432,6
1433,11
1434,1
1435,2
1436,3
1437,1
1438,3
1439,7
1440,9
1441,4
1442,2
1443,10
1444,8
1445,11
1446,9
1447,12
1448,5
1449,7
1450,2
1451,2
1452,5
1453,1
1454,5
1455,12
1456,8
1457,10
1458,3
1459,11
1460,2
1461,9
1462,5
1463,1
1464,12
1465,5
1466,11
1467,6
1468,9
1469,9
1470,12
1471,12
1472,12
1473,11
1474,4
1475,3
1476,10
1477,9
1478,2
1479,7
1480,6
1481,8
1482,2
1483,1
1484,6
1485,7
1486,12
1487,4
1488,9
1489,9
1490,11
1491,10
1492,5
1493,12
1494,3
1495,9
1496,4
1497,3
1498,11
1499,4
1500,1
1501,3
1502,2
1503,3
1504,3
1505,2
1506,5
1507,3
1508,2
1509,5
1510,10
1511,8
1512,12
1513,3
1514,9
1515,6
1516,4
1517,11
1518,4
1519,11
1520,9
1521,8
1522,3
1523,4
1524,7
1525,1
1526,7
1527,9
1528,12
1529,12
1530,7
1531,2
1532,2
1533,8
1534,9
1535,7
1536,10
1537,12
1538,8
1539,6
1540,5
1541,5
1542,5
1543,8
1544,1
1545,6
1546,2
1547,1
1548,12
1549,8
1550,3
1551,3
1552,10
1553,1
1554,2
1555,3
1556,10
1557,11
1558,3
1559,8
1560,11
1561,1
1562,6
1563,8
1564,4
1565,6
1566,4
1567,6
1568,8
1569,11
1570,4
1571,10
1572,11
1573,9
1574,10
1575,12
1576,9
1577,10
1578,6
1579,9
1580,7
1581,7
1582,2
1583,10
1584,11
1585,8
1586,3
1587,5
1588,6
1589,1
1590,7
1591,12
1592,2
1593,1
1594,1
1595,6
1596,12
1597,2
1598,7
1599,3
1600,8
1601,4
1602,6
1603,8
1604,7
1605,1
1606,10
1607,11
1608,4
1609,9
1610,5
1611,5
1612,4
1613,3
1614,2
1615,5
1616,8
1617,11
1618,12
1619,12
1620,4
1621,11
1622,9
1623,8
1624,2
1625,1
1626,6
1627,3
1628,8
1629,6
1630,6
1631,5
1632,1
1633,8
1634,10
1635,9
1636,5
1637,12
1638,7
1639,8
1640,2
1641,7
1642,12
1643,10
1644,12
1645,10
1646,3
1647,11
1648,12
1649,5
1650,9
1651,12
1652,11
1653,7
1654,4
1655,9
1656,3
1657,7
1658,9
1659,5
1660,4
1661,12
1662,3
1663,12
1664,12
1665,7
1666,10
1667,8
1668,6
1669,12
1670,8
1671,11
1672,9
1673,1
1674,12
1675,2
1676,11
1677,10
1678,5
1679,1
1680,8
1681,4
1682,10
1683,9
1684,6
1685,9
1686,6
1687,5
1688,10
1689,9
1690,7
1691,9
1692,3
1693,7
1694,10
1695,11
1696,9
1697,1
1698,1
1699,10
1700,7
1701,12
1702,5
1703,12
1704,7
1705,6
1706,3
1707,12
1708,5
1709,10
1710,8
1711,7
1712,12
1713,10
1714,1
1715,11
1716,12
1717,11
1718,4
1719,8
1720,3
1721,7
1722,10
1723,3
1724,7
1725,4
1726,10
1727,6
1728,8
1729,11
1730,11
1731,9
1732,8
1733,6
1734,7
1735,10
1736,11
1737,3
1738,10
1739,11
1740,4
1741,12
1742,12
1743,6
1744,5
1745,6
1746,4
1747,5
1748,6
1749,8
1750,10
1751,2
1752,9
1753,12
1754,6
1755,9
1756,5
1757,10
1758,3
1759,2
1760,7
1761,8
1762,2
1763,3
1764,4
1765,8
1766,6
1767,1
1768,7
1769,9
1770,6
1771,1
1772,2
1773,8
1774,3
1775,4
1776,6
1777,11
1778,1
1779,9
1780,4
1781,8
1782,7
1783,2
1784,7
1785,8
1786,10
1787,6
1788,2
1789,12
1790,10
1791,6
1792,7
1793,6
1794,1
1795,1
1796,8
1797,9
1798,1
1799,10
1800,12
1801,7
1802,7
1803,5
1804,1
1805,12
1806,10
1807,3
1808,7
1809,7
1810,11
1811,11
1812,7
1813,1
1814,2
1815,6
1816,2
1817,5
1818,4
1819,2
1820,12
1821,3
1822,1
1823,2
1824,1
1825,12
1826,9
1827,10
1828,1
1829,12
1830,3
1831,4
1832,11
1833,4
1834,7
1835,3
1836,9
1837,3
1838,5
1839,2
1840,3
1841,9
1842,6
1843,3
1844,11
1845,12
1846,1
1847,7
1848,11
1849,7
1850,9
1851,2
1852,11
1853,11
1854,3
1855,11
1856,4
1857,6
1858,5
1859,3
1860,11
1861,12
1862,2
1863,4
1864,12
1865,12
1866,9
1867,5
1868,10
1869,10
1870,8
1871,6
1872,5
